Player,Facility,Location
Alvin Kamara,Mercedes-Benz Superdome,New Orleans
Andrews,MT Stadium,Baltimore
Antoine Winfield Jr.,Raymond James Stadium,"Tampa, Florida"
Austin Ekele,Sofi Stadium,Inglewood
Brian Burns,Bank of America Stadium,"Charlotte, North Carolina"
Budda Baker,State Farm Stadium,"Glendale, Arizona"
Cameron Heyward,Heinz Field,"Pittsburgh, Pennsylvania"
Cameron Jordan,Mercedes-Benz Superdome,"New Orleans, Louisiana"
Chandler Jones,Allegiant Stadium,"Paradise, Nevada"
Chris Jones,Arrowhead Stadium,"Kansas City, Missouri"
Cordarrelle Patterson,Mercedes-Benz Stadium,"Atlanta, Georgia"
Corey Linsley,SoFi Stadium,"Inglewood, California"
Dalvin Cook,U.S. Bank Stadium,"Minneapolis, Minnesota"
Dalvin Cook,US Bank Stadium,Minneapolis
Darius Slay,Lincoln Financial Field,"Philadelphia, Pennsylvania"
Darren Waller,Allegiant Stadium,"Paradise, Nevada"
David Montgomery,Soldier Field,"Chicago, Illinois"
DeAndre Hopkins,State Farm Stadium,"Glendale, Arizona"
Deebo Samuel,Levi's Stadium,"Santa Clara, California"
DeForest Buckner,Lucas Oil Stadium,"Indianapolis, Indiana"
Demario Davis,Mercedes-Benz Superdome,"New Orleans, Louisiana"
Derek Carr,Allegiant Stadium,"Paradise, Nevada"
Derwin James,SoFi Stadium,"Inglewood, California"
Devin White,Raymond James Stadium,"Tampa, Florida"
Fred Warner,Levi's Stadium,"Santa Clara, California"
George Kittle,Levi's Stadium,"Santa Clara, California"
J.C. Jackson,SoFi Stadium,"Inglewood, California"
Jamarr Chase,Paul Brown,"Cincinnati, Ohio"
James Conner,State Farm Stadium,"Glendale, Arizona"
Jason Kelce,Lincoln Financial Field,"Philadelphia, Pennsylvania"
Jaylen Waddle,Hard Rock Stadium,"Miami Gardens, Florida"
Jeffery Simmons,Nissan Stadium,"Nashville, Tennessee"
Joe Burrow,Paul Brown Stadium,"Cincinnati, Ohio"
Joe Mixon,Paul Brown Stadium,"Cincinnati, Ohio"
Jonathan Allen,FedExField,"Landover, Maryland"
Jonathan Taylor,Lucas Oil Stadium,"Indianapolis, Indiana"
Josh Alln,Bills Stadium,"Orchard Park, New York"
Justin Herbert,SoFi Stadium,"Inglewood, California"
Justin Simmons,Empower Field at Mile High,"Denver, Colorado"
Justin Tucker,M&T Bank Stadium,"Baltimore, Maryland"
Keenan Allen,SoFi Stadium,"Inglewood, California"
Kenny Moore II,Lucas Oil Stadium,"Indianapolis, Indiana"
Kevin Byard,Nissan Stadium,"Nashville, Tennessee"
Kirk Cousins,U.S. Bank Stadium,"Minneapolis, Minnesota"
Kyle Juszczyk,Levi's Stadium,"Santa Clara, California"
Kyle Pitts,Mercedes-Benz Stadium,"Atlanta, Georgia"
Kyler Murray,State Farm Stadium,"Glendale, Arizona"
Lamar Jackson,M&T Bank Stadium,"Baltimore, Maryland"
Mac Jones,Gillette Stadium,"Foxborough, Massachusetts"
Mark Andrews,M&T Bank Stadium,"Baltimore, Maryland"
Mark Andrews,M and T Bank,"Baltimore, Maryland"
Maxx Crosby,Allegiant Stadium,"Paradise, Nevada"
Marshon Lattimore,Mercedes-Benz Superdome,"New Orleans, Louisiana"
Micah Hyde,Bills Stadium,"Orchard Park, New York"
Micah Parsons,AT&T Stadium,"Arlington, Texas"
Myles Garrett,FirstEnergy Stadium,"Cleveland, Ohio"
Nike Bosa,Levi's Stadium,"Santa Clara, California"
Quandre Diggs,Lumen Field,"Seattle, Washington"
Rashawn Slater,SoFi Stadium,"Inglewood, California"
Robert Quinn DE,Soldier Field,"Chicago, Illinois"
Roquan Smith,Soldier Field,"Chicago, Illinois"
T.J. Watt,Heinz Field,"Pittsburgh, Pennsylvania"
Tom Brad,Raymond James,"Tampa, Florida"
Tom Brady,Raymond James Stadium,"Tampa, Florida"
Trent Williams,Levi's Stadium,"Santa Clara, California"
Trey Hendrickson,Paul Brown Stadium,"Cincinnati, Ohio"
Tristan Wirfs,Raymond James Stadium,"Tampa, Florida"
Tyrann Mathieu,Mercedes-Benz Superdome,"New Orleans, Louisiana"
Tyreek Hill,Hard Rock Stadium,"Miami Gardens, Florida"
Tyron Smith,AT&T Stadium,"Arlington, Texas"
Von Miller,Bills Stadium,"Orchard Park, New York"
Wyatt Teller,FirstEnergy Stadium,"Cleveland, Ohio"
Xavien Howard,Hard Rock Stadium,"Miami Gardens, Florida"
Zack Martin,AT&T Stadium,"Arlington, Texas"
